breadcrumbs,title,discount,date,duration,price,meals,desc,imgSrc
"Strona główna,Oferty na wczasy,Bułgaria,Złote Piaski",HVD Viva Club,,pt. 14.05.2021,3 dni,819,AI - All Inclusive,":,4,Bułgaria/Złote Piaski,(, ): :,Pokoje wyposażone są w łóżeczko dziecięce/niemowląt (bezpłatnie) i minibar (ewentualnie za opłatą).,Położenie :,- Złote Piaski,- około 800 m od centrum miejscowości,- w spokojnej części kurortu",https://cdntravelplanet.pl/34385/EXIM/miniature650x367/bulgaria/zlote-piaski/zlote-piaski/hvd-viva-club_0.jpg?datago=1&t=637432757408813438
"Strona główna,Oferty na wczasy,Bułgaria,Złote Piaski",Arena Mar,,pt. 04.06.2021,3 dni,819,AI - All Inclusive,":,4,Bułgaria/Złote Piaski,Kategoryzacja hotelu :,Kat. EximTours 4*Kat. lokalna 4*,Położenie :,- Varna- w pobliżu supermarket (ok 10 m), dyskoteka (ok 50 m), przystanek autobusowy/postój taksówek (ok 500 m)- ok 150 m od plaży- ok 15 km od stacji kolejowej- ok 15 km od pola golfowego- ok 15 km od centrum miasta- ok 28 km od Varna- ok 127 m od lotniska Burgas,Plaża :,- piaszczysta, publiczna- leżaki, parasole (płatne)",https://cdntravelplanet.pl/34379/EXIM/miniature650x367/bulgaria/zlote-piaski/zlote-piaski/arena-mar_0.jpg?datago=1&t=637430142701840078
"Strona główna,Oferty na wczasy,Bułgaria,Złote Piaski",Marina Grand Beach,,pt. 21.05.2021,3 dni,819,AI - All Inclusive,":,4,Bułgaria/Złote Piaski,Kategoryzacja hotelu :,Kat. EximTours 4*Kat. lokalna 4*,Położenie :,- Varna- w pobliżu postój taksówek (ok 10 m), dyskoteka (ok 100 m), supermarket (ok 200 m), przystanek autobusowy (ok 500 m)- ok 50 m od plaży- ok 500 m od Aquaparku Aquapolis- ok 18 km od Varna- ok 28 km od lotniska Varna- ok 30 km od pola golfowego- ok 127 m od lotniska Burgas,Plaża :,- piaszczysta, publiczna- leżaki, parasole (płatne)",https://cdntravelplanet.pl/34565/EXIM/miniature650x367/bulgaria/zlote-piaski/zlote-piaski/marina-grand-beach_0.jpg?datago=1&t=637430839576824531
"Strona główna,Oferty na wczasy,Egipt,Hurghada",Minamark Beach Resort & Spa,,wt. 02.03.2021,4 dni,828,AI - All Inclusive,"Naszym zdaniem :,Przyjemny hotel (budynek główny i 2-piętrowe aneksy) w pięknym ogrodzie, harmonijnie łączy idę relaksu z rozrywkami kurortu. Całodobowe all inclusive.,Kategoria lokalna :,****,Położenie :,Przy piaszczystej, prywatnej plaży z pomostem (mała rafa koralowa) w centrum Sakkala, tuż przy głównej promenadzie, około 15 km od lotniska. W okolicy hotelu znajdują się lokale gastronomiczne, sklepy, kino, kręgielnia.,Wyposażenie :,2 restauracje z międzynarodowym menu (a la carte i bufety tematyczne), hol powitalny z recepcją i odpłatnym sejfem, bar przy plaży, bar w lobby, kawiarnia orientalna z kącikiem sziszy (TV z relacjami sportowymi), klub nocny z dyskoteką, pralnia, galeria handlowa, salon fryzjerski, punkt wymiany walut, mała sala konferencyjna, kafejka internetowa, Wi-Fi w lobby i pokojach (za dodatkową opłatą).,Pokoje :",https://cdntravelplanet.pl/11711/BVBE/miniature650x367/egipt/hurghada/hurghada/minamark-beach-resort--spa_0.jpg?datago=1&t=637427919354525078
"Strona główna,Oferty na wczasy,Egipt,Hurghada",Grand Blue Aqua Park (ex. Saint Maria),,sob. 15.05.2021,3 dni,815,AI - All Inclusive,"Naszym zdaniem :,Niewysoka zabudowa, podstawowe wyposażenie, mały plac zabaw i zjeżdżalnie wodne. Kameralny i ekonomiczny.,Kategoria lokalna :,***,Położenie :,Ok. 6km od lotniska w Hurghadzie,Wyposażenie :,Całodobowa recepcja, restauracja, restauracja a la carte (płatna, wymagana rezerwacja), bar, Wi FI w lobby, parking , sklepik z pamiatkami.,Pokoje :",https://cdntravelplanet.pl/11596/BVBE/miniature650x367/egipt/hurghada/hurghada/grand-blue-aqua-park-(ex.-saint-maria)_0.jpg?datago=1&t=637427608544236250
"Strona główna,Oferty na wczasy,Polska,Zatoka Gdańska,Krynica Morska",Sun & Snow Continental,,20.01.2021,6 dni,252,RO - Bez wyżywienia,"Kraj:,POLSKA,Opis:,Sun & Snow Continental, znajduje się w Krynicy Morskiej w bliskiej odległości piaszczystej plaży i morza Bałtyckiego. Obiekt usytuowany jest pomiędzy Zatoka Gdańską i Mierzeją Wiślaną. Jest to idealna lokalizacja, wśród pięknej przyrody i morskiej bryzy. Dodatkowym atutem jest także położenie zaledwie 800 m od centrum miasta, co w znaczący sposób ułatwia dotarcie do obiektów świadczących różnorodne usługi, jak sklepy, restauracje, kawiarnie i inne.,Obiekt swoim gościom oferuje przestronne i komfortowe apartamenty wyposażone w wygodne łóżka, rozkładaną kanapę z funkcją spania, telewizor i internet bezprzewodowy. Dodatkowo mieści się w nich aneks kuchenny z płytą grzewczą, lodówką, mikrofalówką, czajnikiem, a także zastawą kuchenna i stołową. Każdy z apartamentów posiada prywatną łazienkę z kabiną prysznicową oraz ręcznikami. Część z pokoi posiada dostęp do balkonów.,Apartament 4-os.:,Komfortowy i przestronny apartament z wygodnym łóżkiem oraz rozkładaną kanapą z funkcją spania. Dodatkowo pokój wyposażony jest w telewizor, internet bezprzewodowy. Aneks kuchenny posiada płytę grzewczą, lodówkę, czajnik, mikrofalówkę, a także niezbędną zastawę stołową i kuchenną. W apartamencie znajduje się prywatna łazienka z kabiną prysznicową i ręcznikami. Lokalizacja:,Obiekt położony jest na północy Polski, w województwie pomorskim, w miejscowości Krynica Morska. Usytuowany jest na Mierzei Wiślanej, między Zatoką Gdańską a Zalewem Wiślanym.,Dojazdu samochodem:",https://cdntravelplanet.pl/1011290/NKRA/miniature650x367/polska/zatoka-gdanska/krynica-morska/sun--snow-continental_0.jpg?datago=1&t=637430701985609609
"Strona główna,Oferty na wczasy,Malta,Wyspa Malta,Bugibba",San Anton (Ex. Blue Sea),,niedz. 10.01.2021,7 dni,642,RO - Bez wyżywienia,"Opis oferty:,Drodzy Klienci, już od wielu lat Yobboo Travel oferuje Wam wysokiej jakości wyjazdy poprzez współpracę ze sprawdzonymi i zaufanymi partnerami na całym świecie.,Do każdej oferty dołączamy wyjątkowy na rynku pakiet korzyści Yobboo Travel,- możliwość otrzymania kart pokładowych RÓWNIEŻ na lot powrotny przed rozpoczęciem podróży,- gwarancja niezmienności ceny GRATIS na wszystkie oferty,- wsparcie centrum alarmowego 24/7,Hotel:,Hotel oferuje restaurację, bar, baseny oraz darmowe wifi w okolicach recepcji. W pobliżu hotelu znajduje się wypożyczalnia samochodów.,Pokoje:",https://cdntravelplanet.pl/191361/XYOB/miniature650x367/malta/wyspa-malta/bugibba/san-anton-(ex.-blue-sea)_0.jpeg?datago=1&t=637429531203264688
"Strona główna,Oferty na wczasy,Polska,Beskidy Zachodnie,Cieszyn",Liburnia,,03.05.2021,1 dzień,118,HB - Dwa posiłki,"Kategoria:,***,Region:,Cieszyn,OPIS:,3-gwiazdkowy hotel Hotel Liburnia leży 900 metrów od centrum Cieszyn.,Goście obiektu Hotel Liburnia mają dyspozycji wyposażone pokoje, w których znajdują się m.in. klimatyzacja,jak również parking niestrzeżony. WI-FI we wszystkich pokojach jest dostępny.,Pokój dla 2 osób Standard:,Cena zawiera: ",https://cdntravelplanet.pl/749645/VXEM/miniature650x367/polska/beskidy-zachodnie/cieszyn/liburnia_0.jpg?datago=1&t=637430155561757422
"Strona główna,Oferty na wczasy,Polska,Beskidy Zachodnie,Bielsko - Biała",Qubus (Bielsko - Biala),,25.12.2020,1 dzień,113,BB - Śniadania,"Kraj:,POLSKA,Opis:,Hotel Qubus**** usytuowany jest w Bielsko-Białej, w samym centrum miasta. Dzięki swojemu położeniu umożliwia gościom łatwy i szybki dostęp do bazy usługowo-rozrywkowej. Jest to też idealne miejsce dla osób lubiących aktywnie spędzać czas wolny ze względu na okoliczne atrakcje.,Do dyspozycji gości zostały oddane komfortowe i elegancko umeblowane pokoje wyposażone w klimatyzację, bezprzewodowy internet, telewizję, telefon, zestaw do parzenia kawy i herbaty oraz miejsce do pracy biurowej. Każdy z pokoi posiada prywatną łazienkę z kabiną prysznicową lub wanną, suszarkę do włosów i ręczniki.,Hotel znajduje się w centrum handlowym ""Sfera"". Tam też mieści się hotelowa restauracja,""4Elements"". Serwowane są tam wykwintne dania kuchni polskiej i europejskiej, przygotowywane przez profesjonalnych kucharzy. Bogate menu zostało skonstruowane w taki sposób by spełnić oczekiwania klientów. Do ich przygotowania wykorzystywane są sezonowe produkty najwyższej jakości. Dla najmłodszych gości obiektu przygotowane zostało specjalne menu. W ciepłe dni istnieje możliwość skosztowania dań na kameralnie ozdobionym zielenią tarasie.,Pokój 1-os. Single:,Elegancki i nowocześnie urządzony pokój wyposażony w telewizje, klimatyzację, internet bezprzewodowy oraz prywatną łazienkę.",https://cdntravelplanet.pl/1011458/NKRA/miniature650x367/polska/szczyrk/bielsko---biala/qubus-(bielsko---biala)_0.jpg?datago=1&t=637429367020088867
"Strona główna,Oferty na wczasy,Polska,Zatoka Gdańska,Władysławowo",Sun & Snow Na Klifie,,30.01.2021,6 dni,286,RO - Bez wyżywienia,"* Udogodnienia:, Poprawność udogodnień zawsze weryfikuj z opisem hotelu.,Dokumenty podróży:",https://cdntravelplanet.pl/1010902/NKRA/miniature650x367/polska/zatoka-gdanska/wladyslawowo/sun--snow-na-klifie_0.jpg?datago=1&t=637432714231492500
