kategorie(),procent rabatu,"cechy(A:wartosc,B:)",nazwa,cena brutto,opis,adres zdjecia,produkt wirtualny
"Strona główna,super last minute,kuba",,"Data rozpoczęcia:pt. 18.12.2020,Czas Trwania:6 dni,Posiłki:AI - All Inclusive,Wylot z:Berlin,Operator:Prima Holiday",Melia Marina Varadero,8862,"<h3 class=""hotel-description__subject hotel--description--subject"">POŁOŻENIE :</h3>,<p>Na brzegu portu jachtowego w Varadero, na samym końcu półwyspu Hicacos. Do centrum kurortu ok. 14 km - po kurorcie i półwyspie kursuje autobus turystyczny (płatny). Do lotniska w Varadero ok. 40 km. <br>Polecamy możliwość rezerwacji specjalnego transferu połączonego ze zwiedzaniem Havany - City Tour po Hawanie (w 1szym lub ostanim dniu pobytu).  Taka opcja jest bardzo atrakcyjna, daje możliwość poznania tego nieprzeciętnego miasta.</p>,<h3 class=""hotel-description__subject hotel--description--subject"">PLAŻA :</h3>,<p>Piaszczysta, oddalona od hotelu ok. 300 m (przejście kładką nad ulicą). Leżaki, parasole oraz ręczniki plażowe bezpłatnie.</p>,<h3 class=""hotel-description__subject hotel--description--subject"">HOTEL :</h3>,<p>KATEGORIA LOKALNA 5*<br>Luksusowy kompleks hotelowy, należący do znanej i cenionej sieci Melia, wybudowany został w 2013 r. Pięciogwiazdkowy kurort nadmorski, który oferuje szereg wrażeń dla osób kochających morze. Wyposażony we wszystkie usługi i udogodnienia potrzebne do połączenia długiego pobytu na lądzie z życiem na pokładzie, przeznaczony do żeglarstwa, żeglarstwa, nurkowania i wędkowania, a także do spotkań i imprez, rodzin, wesel i miesięcy miodowych, spa &amp; wellness.<br>Zintegrowany z nadmorską promenadą ze sklepami i planami mariny z 1200 miejscami do cumowania i ponad 26 pomostami do cumowania, hotel o powierzchni 40 900 m2 oferuje 423 luksusowe pokoje standardowe i apartamenty ozdobione motywami morskimi oraz niezrównanymi widokami na przystań Gaviota Varadero i półwysep Hicacos.<br>Wyśmienita kuchnia odgrywa ważną rolę w hotelowym doświadczeniu z 9 restauracjami i kawiarniami oraz 8 barami oferującymi dania kuchni międzynarodowej, włoskiej, francuskiej i lokalnej oraz koktajle i oczywiście rum i cygara Havana. Uzupełnieniem oferty jest YHI Spa, klub dla dzieci i największy obszar kongresowy w Varadero z obsługą bankietów i sal konferencyjnych.</p>,<h3 class=""hotel-description__subject hotel--description--subject"">DO DYSPOZYCJI GOŚCI :</h3>,<p>Recepcja, windy, przechowalnia bagażu, kantor, pasaż handlowy. Restauracja bufetowa El Pilar, Havana pool snack bar, bar przy basenie Mojtito, bar na plaży Las Brisas, koktajl bar Cojímar, The Daiquiri rum bar,  lobby bar i piano bar (w nocy) Fiesta, El Pescador grill plażowy, restauracja Marlin na plaży, restauracja ala carte Don Peperon-kuchnia  śródziemnomorska, restauracja ala carte francuska Casa Burguete, restauracja ala carte Bana Oriental z kuchnią azjatycką. Za dodatkową opłatą room service, opieka medyczna, salon piękności. Na terenie hotelu znajdują się strefy dla niepalących.</p>,<h3 class=""hotel-description__subject hotel--description--subject"">INTERNET :</h3>",https://cdntravelplanet.pl/5839/BVPR/miniature650x367/kuba/varadero/varadero/melia-marina-varadero_0.jpg?datago=1&t=637431822265355703,1
"Strona główna,super last minute,cypr",,"Data rozpoczęcia:czw. 17.12.2020,Czas Trwania:7 dni,Posiłki:RO - Bez wyżywienia,Wylot z:Warszawa,Operator:Prima Holiday",Flora Maria Hotel & Annex,1200,"<h3 class=""hotel-description__subject hotel--description--subject"">POŁOŻENIE :</h3>,<p>Hotel położony w centrum miejscowości Ayia Napa, w odległości ok. 55 km od lotniska w Larnece.</p>,<h3 class=""hotel-description__subject hotel--description--subject"">PLAŻA :</h3>,<p>Ogólnodostępna, ok. 800m od hotelu, dojście ulicą.</p>,<h3 class=""hotel-description__subject hotel--description--subject"">HOTEL :</h3>,<p>Kategoria lokalna: Apartamenty turystyczne.<br>Obiekt świadczący podstawowe usługi swoim klientom. Położony w bliskiej odległości reastauracji, barów i dysotek. Polecany dla osób chcących zwiedzać okolicę.</p>,<h3 class=""hotel-description__subject hotel--description--subject"">DO DYSPOZYCJI GOŚCI :</h3>,<p>Całodobowa recepcja, bar, kantor wymiany walut. Restauracja w pobliskim hotelu Cleopatra.</p>,<h3 class=""hotel-description__subject hotel--description--subject"">INTERNET :</h3>",https://cdntravelplanet.pl/5367/BVPR/miniature650x367/cypr/ayia-napa/ajia-napa/flora-maria-hotel--annex_0.jpg?datago=1&t=637432762564594766,1
"Strona główna,super last minute,emiraty arabskie",17,"Data rozpoczęcia:pt. 11.12.2020,Czas Trwania:7 dni,Posiłki:BB - Śniadania,Wylot z:Warszawa,Operator:Best Reisen",Two Seasons (ex. Gloria),3619,"<h3 class=""hotel-description__subject hotel--description--subject"">Naszym zdaniem :</h3>,<p>Dobrej klasy 41-piętrowy hotel: nowoczesny i dobrze wyposażony. Naprzeciwko znajduje się stacja metra, dzięki czemu goście mogą łatwo poruszać się po mieście. Smaczna i różnorodna kuchnia, zacieniony plac zabaw, basen na 7. piętrze i transfery na plażę sprawiają, że jest to świetna propozycja, dzięki ktorej można połączyć zwiedzanie z wypoczynkiem.</p>,<h3 class=""hotel-description__subject hotel--description--subject"">Położenie :</h3>,<p>Przy głównej ulicy Sheikh Zayed Road, naprzeciwko hotelu Yassat Gloria, tuż przy stacji metra Internet City, 5 km od plaży Jumierah i Palmy Jumeirah, 15 km od Burj Khalifa. W pobliżu sklep spożywczy, restauracje i inne hotele. <br>Darmowy bus jeździ na plażę JBR i Kite Beach, do Dubai Marina i jednego z centrów handlowych oraz do Dubai Parks &amp; Resorts. Aktualny rozkład u konsjerża. Usługa jest realizowana wg zapotrzebowania, sezonu i innych czynników. Hotel zasrzega sobie zmiany w tej kwestii.</p>,<h3 class=""hotel-description__subject hotel--description--subject"">Wyposażenie :</h3>,<p>Recepcja, centrum biznesowe, sala konferencyjna, restauracja główna, restauracja libańska, kawiarnia w lobby, bar przy basenie, bar z przekąskami i lodami, sklep spożywczo-drogeryjny, butiki z pamiątkami, Sky Lounge z zapierającym dech widokiem na Dubaj, room service, punkt concierge, punkt informacji turystycznej, kantor wymiany walut, pralnia.</p>,<h3 class=""hotel-description__subject hotel--description--subject"">Pokoje :</h3>,<p>Pokoje Deluxe Suite (ok. 58 m2) składają się z pokoju dziennego (sofa, fotel, biurko, lampa, stół, szafka, duży telewizor z płaskim ekranem), sypialni (łóżko king size lub dwa łożka twin, lampa, biurko, telewizor, szafa, lustro, sejf), aneksu kuchennego (lodówka, mikrofalówka, czajnik, sztućce, naczynia, kawa, herbata), łazienki/wc (wanna z prysznicem, bidet, kosmetyki, suszarka), pomieszczenia na bagaże i balkonu.    <br>Pokoje Premium Suite (ok. 70 m 2) - mają podobny rozkład jak deluxe suite. Widok na miasto lub na miasto i morze.<br>W pokojach Deluxe i Premium Suite możliwość zakwaterowania 3 osób dorosłych lub 2 osób dorosłych i dziecka do 12. r.ż. Dziecko do 6 r. ż. nie otrzymuje dostawki. Maksymalnie 1 dostawka w pokoju.<br>Pokoje Grand Suite (ok 102 m 2) mają dwie sypialnie, dwie łazienki, dwa balkony i widok na miasto (City View) lub miasto i morze (Sea View).<br>W pokojach Grand Suite możliwość zakwaterowania 4 osób dorosłych lub 3 osób dorosłych i dziecka do 12. r.ż.<br>We wszystkich pokojach żelazko, deska do prasowania, bezpłatne Wi-Fi, odtwarzacz DVD. W pokojach typu apartment - kuchnia jest wyposażona, w suitach - nie.</p>,<h3 class=""hotel-description__subject hotel--description--subject"">Wyżywienie :</h3>",https://cdntravelplanet.pl/12215/BVBX/miniature650x367/emiraty-arabskie/dubaj/dubaj/two-seasons-(ex.-gloria)_0.jpg?datago=1&t=637436354497798593,1
"Strona główna,super last minute,grecja",12,"Data rozpoczęcia:śr. 23.12.2020,Czas Trwania:7 dni,Posiłki:BB - Śniadania,Wylot z:Kraków,Operator:Prima Holiday",Novus City,1818,"<h3 class=""hotel-description__subject hotel--description--subject"">POŁOŻENIE :</h3>,<p>Dla tych, którzy chcą zobaczyć najciekawsze miejsca podczas odwiedzania Aten, Novus City Hotel położony jest niedaleko od Monastiraki (1,1 km) i Hefajstejon (1,1 km).<br>Popularne atrakcje,  które znajdują się w pobliżu hotelu, to na przykład Akropolis (1,6 km), Muzeum Akropolu Ateńskiego (1,9 km) i Plaka (1,2 km).</p>,<h3 class=""hotel-description__subject hotel--description--subject"">HOTEL :</h3>,<p>kategoria lokalna 4*<br>Hotel odznaczony  nagrodą  Travellers Choice - wyróżnienie przyznawane jest jest obiektom i  atrakcjom,<br>które stale zbierają świetne recenzje i należą do najlepszych 10% obiektów na stronie Tripadvisor.<br>Na 8 piętrze znajdują się  wygodne sofy, książki i intymne zakamarki otoczone drzewami oliwnymi, gdzie można odpocząć, poczytać lub nawet pracować, w relaksującym otoczeniu. Możesz także delektować się kawą lub napojem i wyborem dań fingerfood, podziwiając wspaniały widok na panoramę Aten. Po drugiej stronie tarasu znajdują się miejsca do siedzenia wewnątrz i na zewnątrz, jak również możliwość kąpieli, relaksu na leżakach i rozkoszowania się łagodnym klimatem śródziemnomorskim (o ile pozwala na to pogoda) od 10 rano do zachodu słońca każdego dnia.</p>,<h3 class=""hotel-description__subject hotel--description--subject"">DO DYSPOZYCJI GOŚCI :</h3>,<p>24-godzinna recepcja, WiFi, przechowalnia bagażu, prywatny parking, basen na dachu i taras, bar i restauracja.</p>,<h3 class=""hotel-description__subject hotel--description--subject"">INTERNET :</h3>,<p>Wi Fee gratis na terenie hotelu</p>,<h3 class=""hotel-description__subject hotel--description--subject"">ZAKWATEROWANIE :</h3>",https://cdntravelplanet.pl/5549/BVPR/miniature650x367/grecja/ateny/ateny/novus-city_0.jpg?datago=1&t=637433633645990625,1
"Strona główna,super last minute,hiszpania",,"Data rozpoczęcia:pon. 21.12.2020,Czas Trwania:6 dni,Posiłki:BB - Śniadania,Wylot z:Warszawa - Modlin,Operator:Yobboo",Motion Chueca,862,"<h3 class=""hotel-description__subject hotel--description--subject"">Opis oferty:</h3>,<p></p>,<p>Drodzy Klienci, już od wielu lat Yobboo Travel oferuje Wam wysokiej jakości wyjazdy poprzez współpracę ze sprawdzonymi i zaufanymi partnerami na całym świecie.</p>,<p>Do każdej oferty dołączamy wyjątkowy na rynku pakiet korzyści Yobboo Travel</p>,<p>- możliwość otrzymania kart pokładowych RÓWNIEŻ na lot powrotny przed rozpoczęciem podróży</p>,<p>- gwarancja niezmienności ceny GRATIS na wszystkie oferty</p>,<p>- wsparcie centrum alarmowego 24/7</p>,<h3 class=""hotel-description__subject hotel--description--subject"">Położenie:</h3>,<p></p>",https://cdntravelplanet.pl/635139/XYOB/miniature650x367/hiszpania/madryt/madryt/motion-chueca_0.jpeg?datago=1&t=637434378557191797,1
"Strona główna,super last minute,cypr",11,"Data rozpoczęcia:niedz. 13.12.2020,Czas Trwania:7 dni,Posiłki:HB - Dwa posiłki,Wylot z:Warszawa,Operator:Best Reisen",Constantinos The Great Beach,1932,"<h3 class=""hotel-description__subject hotel--description--subject"">Naszym zdaniem :</h3>,<p>Znakomity, lubiany hotel, dogodnie położony przy pięknej plaży odznaczonej Błękitną Flagą. Atrakcyjna okolica, pełna rozrywek, system all inclusive, malownicze widoki, gustowne wnętrza. Świetne miejsce dla par i rodzin z dziećmi, chcących spędzić komfortowe wakacje na Cyprze.</p>,<h3 class=""hotel-description__subject hotel--description--subject"">Położenie :</h3>,<p>W Protaras, przy słynnej, piaszczystej plaży Flamingo Beach (leżaki i parasole płatne), 100 m od tętniącej życiem promenady, kilometr od zatoki Figs Tree, 10 km od Ayia Napa, 50 km od lotniska w Larnace. W pobliżu znajduje się przystanek autobusowy.</p>,<h3 class=""hotel-description__subject hotel--description--subject"">Wyposażenie :</h3>,<p>Eleganckie, obszerne lobby z recepcją, 2 windy, bezpłatne Wi-Fi, dwie restauracje główne, dwie restauracje ala carte (kuchnia śródziemnomorska i azjatycka), bar w lobby, bar przy basenie, bar przy plaży, sala konferencyjna, zaplecze biznesowe, sklepiki, wypożyczalnia samochodów, room-service.</p>,<h3 class=""hotel-description__subject hotel--description--subject"">Pokoje :</h3>,<p>Standardowe - sypialnia, łazienka (wanna/prysznic, suszarka do włosów), klimatyzacja sterowana indywidualnie, telefon, TV sat, zestaw do parzenia kawy/herbaty, balkon (widok na ląd, częściowy widok na morze, widok na morze). Odpłatnie: sejf, Wi-Fi, minibar. Powierzchnia - ok. 26 m kw.<br>Suite rodzinny - sypialnia i pokój dzienny z sofą, dodatkowo w łazience wanna z jacuzzi. Balkon z widokiem na morze. Powierzchnia -ok. 60 m kw.</p>,<h3 class=""hotel-description__subject hotel--description--subject"">Wyżywienie :</h3>",https://cdntravelplanet.pl/12070/BVBX/miniature650x367/cypr/ayia-napa/protaras/constantinos-the-great-beach_0.jpg?datago=1&t=637433790354224375,1
"Strona główna,super last minute,cypr",6,"Data rozpoczęcia:sob. 19.12.2020,Czas Trwania:7 dni,Posiłki:BB - Śniadania,Wylot z:Berlin,Operator:Exim Tours",Four Seasons (Limassol),3889,"<h3 class=""hotel-description__subject hotel--description--subject"">:</h3>,<p>5<br>Cypr/Cypr</p>,<h3 class=""hotel-description__subject hotel--description--subject"">Kategoryzacja hotelu :</h3>,<p>- kat. Exim Tours 5*<br>- kat. lokalna 5*</p>,<h3 class=""hotel-description__subject hotel--description--subject"">Położenie :</h3>,<p>- Limassol<br>- przy plaży<br>- w pobliżu bary, restauracje, sklepy<br>- ok. 150 m od przystanku autobusowego<br>- ok. 5 km od stadniny koni<br>- ok. 9 km od centrum<br>- ok. 15 km od parku wodnego Watermania<br>- ok. 60 km od lotnicka w Larnace</p>,<h3 class=""hotel-description__subject hotel--description--subject"">Plaża :</h3>,<p>- piaszczysta<br>- parasole, leżaki (bez opłat)<br>- oznaczona Błękitną flagą</p>,<h3 class=""hotel-description__subject hotel--description--subject"">Pokoje :</h3>",https://cdntravelplanet.pl/35052/EXIM/miniature650x367/cypr/limassol/limassol/four-seasons-(limassol)_0.jpg?datago=1&t=637435288122547820,1
"Strona główna,super last minute,cypr",6,"Data rozpoczęcia:sob. 19.12.2020,Czas Trwania:7 dni,Posiłki:HB - Dwa posiłki,Wylot z:Berlin,Operator:Exim Tours",Grand Pasha Casino,3919,"<h3 class=""hotel-description__subject hotel--description--subject"">:</h3>,<p>4+<br>Cypr Północny/Cypr Północny</p>,<h3 class=""hotel-description__subject hotel--description--subject"">Kategoryzacja hotelu :</h3>,<p>- kat. Exim Tours 4*+<br>- kat. lokalna 4*+</p>,<h3 class=""hotel-description__subject hotel--description--subject"">Położenie :</h3>,<p>- Kyrenia<br>- ok. 150 m od plaży<br>- ok. 2 km od centrum<br>- ok. 30 km od Nikozji<br>- ok. 80 km od lotniska w Larnace</p>,<h3 class=""hotel-description__subject hotel--description--subject"">Plaża :</h3>,<p>- piaszczysta, publiczna (dowóz busem hotelowym - tylko w sezonie letnim)<br>- leżaki i parasole (bezpłatne)</p>,<h3 class=""hotel-description__subject hotel--description--subject"">Pokoje :</h3>",https://cdntravelplanet.pl/33249/EXIM/miniature650x367/cypr/cypr-polnocny/kirenia/grand-pasha-casino_0.jpg?datago=1&t=637432161856361562,1
"Strona główna,super last minute,cypr",,"Data rozpoczęcia:niedz. 20.12.2020,Czas Trwania:7 dni,Posiłki:BB - Śniadania,Wylot z:Gdańsk,Operator:Prima Holiday",Radisson Blu Larnaca,3688,"<h3 class=""hotel-description__subject hotel--description--subject"">POŁOŻENIE :</h3>,<p>Pięciogwiazdkowy hotel Radisson Blu, Larnaca położony jest w centrum Larnaki i zapewnia widoki na port. Z obiektu można bez trudu dostać się do wszystkich atrakcji miasta.</p>,<h3 class=""hotel-description__subject hotel--description--subject"">PLAŻA :</h3>,<p>Wyróżniona Błękitną Flagą plaża w miejscowości Finikoudes oddalona jest od obiektu o 2,5 km. Dojazd do tętniącego życiem miasta Ajia Napa zajmuje 30 minut.</p>,<h3 class=""hotel-description__subject hotel--description--subject"">HOTEL :</h3>,<p>kategoria lokalna 5*</p>,<h3 class=""hotel-description__subject hotel--description--subject"">INTERNET :</h3>,<p>Bezpłatny interent na terenie całego hotelu</p>,<h3 class=""hotel-description__subject hotel--description--subject"">KONFERENCJE/INCENTIVE :</h3>",https://cdntravelplanet.pl/5380/BVPR/miniature650x367/cypr/larnaka/larnaka/radisson-blu-larnaca_0.jpg?datago=1&t=637437149823138923,1
"Strona główna,super last minute,cypr",8,"Data rozpoczęcia:sob. 19.12.2020,Czas Trwania:7 dni,Posiłki:BB - Śniadania,Wylot z:Berlin,Operator:Exim Tours",The Arkin Colony,3199,"<h3 class=""hotel-description__subject hotel--description--subject"">:</h3>,<p>5<br>Cypr Północny/Cypr Północny</p>,<h3 class=""hotel-description__subject hotel--description--subject"">Kategoryzacja hotelu :</h3>,<p>- kat. Exim Tours 5*<br>- kat. lokalna 5*</p>,<h3 class=""hotel-description__subject hotel--description--subject"">Położenie :</h3>,<p>- Kyrenia<br>- ok. 2 km od centrum<br>- ok. 5 km od plaży (dowóz busem hotelowym)<br>- ok. 24 km od Nikozji<br>- ok. 80 km od lotniska w Larnace</p>,<h3 class=""hotel-description__subject hotel--description--subject"">Plaża :</h3>,<p>- piaszczysta, publiczna (dowóz busem hotelowym - tylko w sezonie letnim)<br>- leżaki i parasole (płatne)</p>,<h3 class=""hotel-description__subject hotel--description--subject"">Pokoje :</h3>",https://cdntravelplanet.pl/33272/EXIM/miniature650x367/cypr/cypr-polnocny/kirenia/the-arkin-colony_0.jpg?datago=1&t=637435446601500066,1
